"Locality","District","Office","PoliticalParty","BallotName","Seats","CandidateId"
"PAGE COUNTY","DISTRICT 1","Member Board of Supervisors (District 1)","","J. Jeremy Baldwin","1","cs1045"
"PAGE COUNTY","DISTRICT 1","Member School Board (District 1)","Write-In","Daniel D. ""Dan"" Bogdewic","1","DanielD.""Dan""Bogdewic-1-"
"PAGE COUNTY","DISTRICT 4","Member Board of Supervisors (District 4)","","Susan K. Kile","1","cs794"
"PAGE COUNTY","DISTRICT 5","Member Board of Supervisors (District 5)","","Jeffery P. Vaughan","1","cs274"
"PAGE COUNTY","DISTRICT 5","Member School Board (District 5)","","M. ""Charles"" Queen Jr.","1","cs93"
"PAGE COUNTY","LURAY","Member Town Council - Special (Town of Luray)","","Jerry R. Dofflemyer","1","cs361"
"PAGE COUNTY","PAGE COUNTY","Chairman Board of Supervisors (Page County)","","Clifton B. ""Bucky"" Thomas","1","cs910"
"PAGE COUNTY","PAGE COUNTY","Chairman School Board (Page County)","","Duane E. Painter","1","cs206"
"PAGE COUNTY","PAGE COUNTY","Commonwealth's Attorney (Page County)","","Chapman L. Good","1","cs651"
"PATRICK COUNTY","DAN RIVER DISTRICT","Member Board of Supervisors (Dan River District)","","Andrew T. Overby","1","cs145"
"PATRICK COUNTY","DAN RIVER DISTRICT","Member School Board (Dan River District)","","Robert S. ""Rob"" Martin","1","cs846"
"PATRICK COUNTY","SMITH RIVER DISTRICT","Member Board of Supervisors (Smith River District)","","Richard Martin Swink, Jr.","1","cs195"
"PATRICK COUNTY","SMITH RIVER DISTRICT","Member School Board (Smith River District)","","Walter L. Scott","1","cs418"
"PETERSBURG CITY","PETERSBURG CITY","Commissioner of Revenue (Petersburg City)","","Brittany C. Flowers","1","cs815"
"PETERSBURG CITY","PETERSBURG CITY","Commonwealth's Attorney (Petersburg City)","","Tiffany Buckner","1","cs169"
"PETERSBURG CITY","PETERSBURG CITY","Sheriff (Petersburg City)","","Vanessa Reese Crawford","1","cs433"
"PETERSBURG CITY","PETERSBURG CITY","Treasurer (Petersburg City)","","Paul Z. Mullin Jr.","1","cs297"
"PITTSYLVANIA COUNTY","BANISTER DISTRICT","Member Board of Supervisors (Banister District)","","Robert M. Tucker Jr.","1","cs702"
"PITTSYLVANIA COUNTY","BANISTER DISTRICT","Member School Board (Banister District)","","Willie T. Fitzgerald Jr.","1","cs940"
"PITTSYLVANIA COUNTY","CALLANDS-GRETNA DISTRICT","Member Board of Supervisors (Callands-Gretna District)","","Darrell W. Dalton","1","cs258"
"PITTSYLVANIA COUNTY","CALLANDS-GRETNA DISTRICT","Member School Board (Callands-Gretna District)","","Calvin D. ""Bunky"" Doss","1","cs586"
"PITTSYLVANIA COUNTY","DAN RIVER DISTRICT","Member Board of Supervisors (Dan River District)","","Justin N. Brown","1","cs954"
"PITTSYLVANIA COUNTY","DAN RIVER DISTRICT","Member School Board (Dan River District)","","Kelly H. Merricks","1","cs599"
"PITTSYLVANIA COUNTY","PITTSYLVANIA COUNTY","Treasurer (Pittsylvania County)","","Vanessa Reynolds Scearce","1","cs532"
"POQUOSON CITY","POQUOSON CITY","Commissioner of Revenue (Poquoson City)","","Thomas J. Cannella II","1","cs176"
"POQUOSON CITY","POQUOSON CITY","Treasurer (Poquoson City)","","Steven D. Clarke","1","cs58"
"PORTSMOUTH CITY","PORTSMOUTH CITY","Commissioner of Revenue (Portsmouth City)","","F. D. ""Frankie"" Edmondson","1","cs908"
"PORTSMOUTH CITY","PORTSMOUTH CITY","Commonwealth's Attorney (Portsmouth City)","","Stephanie N. Morales","1","cs743"
"PORTSMOUTH CITY","PORTSMOUTH CITY","Sheriff (Portsmouth City)","","Michael A. Moore","1","cs1015"
"PORTSMOUTH CITY","PORTSMOUTH CITY","Treasurer (Portsmouth City)","","Paige D. Cherry","1","cs518"
"PRINCE EDWARD COUNTY","DISTRICT 3","Member Board of Supervisors (District 3)","","Jerry R. Townsend","1","cs378"
"PRINCE EDWARD COUNTY","DISTRICT 3","Member School Board (District 3)","","Timothy W. Corbett","1","cs530"
"PRINCE EDWARD COUNTY","DISTRICT 5","Member Board of Supervisors (District 5)","","Llew W. Gilliam, Jr.","1","cs524"
"PRINCE EDWARD COUNTY","DISTRICT 5","Member School Board (District 5)","","Lucy B. Carson","1","cs556"
"PRINCE EDWARD COUNTY","DISTRICT 6","Member Board of Supervisors (District 6)","","J. David Emert","1","cs978"
"PRINCE EDWARD COUNTY","DISTRICT 6","Member School Board (District 6)","","Robyn J. Simpson","1","cs1063"
"PRINCE EDWARD COUNTY","DISTRICT 7","Member Board of Supervisors (District 7)","","Brett V. ""Cannon"" Watson","1","cs290"
"PRINCE EDWARD COUNTY","DISTRICT 7","Member School Board (District 7)","","M. Susan Kimbrough","1","cs77"
"PRINCE GEORGE COUNTY","DISTRICT 1","Member Board of Supervisors (District 1)","","R. B. ""Ford"" Pugh IV","1","cs166"
"PRINCE GEORGE COUNTY","DISTRICT 1","Member School Board (District 1)","","Robert E. L. Eley III","1","cs564"
"PRINCE GEORGE COUNTY","DISTRICT 2","Member Board of Supervisors (District 2)","","B. Scott Hammel","1","cs637"
"PRINCE GEORGE COUNTY","DISTRICT 2","Member School Board (District 2)","","Jessica N. Vlkojan","1","cs300"
"PRINCE WILLIAM COUNTY","GAINESVILLE DISTRICT","Member Board of Supervisors (Gainesville District)","","George T. Stewart","1","cs382"
"PRINCE WILLIAM COUNTY","OCCOQUAN","Member Town Council - Special - Occoquan","","Robert E. ""Bob"" Love","1","cs544"
"PULASKI COUNTY","DUBLIN","Member Town Council - Special (Town of Dublin)","","Jared M. Smith","2","cs267"
"PULASKI COUNTY","DUBLIN","Member Town Council - Special (Town of Dublin)","","P. Douglas Poe","2","cs268"
"RADFORD CITY","RADFORD CITY","Commissioner of Revenue (Radford City)","","Kelsey Renee Marletta","1","cs253"
"RADFORD CITY","RADFORD CITY","Commonwealth's Attorney (Radford City)","","Chris E. Rehak","1","cs758"
"RADFORD CITY","RADFORD CITY","Sheriff (Radford City)","","Mark R. Armentrout","1","cs445"
"RADFORD CITY","RADFORD CITY","Treasurer (Radford City)","","Joy M. Morrison","1","cs825"
"RAPPAHANNOCK COUNTY","PIEDMONT DISTRICT","Member Board of Supervisors (Piedmont District)","","Gary T. Settle","1","cs43"
"RAPPAHANNOCK COUNTY","PIEDMONT DISTRICT","Member School Board (Piedmont District)","","Rachel L. Bynum","1","cs1024"
"RAPPAHANNOCK COUNTY","STONEWALL-HAWTHORNE DIST","Member Board of Supervisors (Stonewall-Hawthorne District)","","John N. Genho","1","cs449"
"RAPPAHANNOCK COUNTY","STONEWALL-HAWTHORNE DIST","Member School Board (Stonewall-Hawthorne District)","","K. Lynnie Genho","1","cs284"
"RICHMOND CITY","RICHMOND CITY","Commonwealth's Attorney (Richmond City)","","Colette W. McEachin","1","cs667"
"RICHMOND CITY","RICHMOND CITY","Sheriff (Richmond City)","","Antionette V. Irving","1","cs60"
"RICHMOND CITY","RICHMOND CITY","Treasurer (Richmond City)","","Nichole Richardson Armstead","1","cs780"
"RICHMOND COUNTY","DISTRICT 1","Member Board of Supervisors (District 1)","","Richard E. Thomas","1","cs604"
"RICHMOND COUNTY","DISTRICT 4","Member Board of Supervisors  (District 4)","","Robert B. Pemberton","1","cs665"
"ROANOKE CITY","ROANOKE CITY","Commissioner of Revenue (Roanoke City)","","Ryan S. LaFountain","1","cs177"
"ROANOKE CITY","ROANOKE CITY","Commonwealth's Attorney (Roanoke City)","","John M. McNeil, Jr.","1","cs587"
"ROANOKE CITY","ROANOKE CITY","Sheriff (Roanoke City)","","Antonio D. Hash","1","cs566"
"ROANOKE CITY","ROANOKE CITY","Treasurer (Roanoke City)","","Tasha L. Burkett","1","cs86"
"ROANOKE COUNTY","HOLLINS DISTRICT","Member Board of Supervisors (Hollins District)","","Phil C. North","1","cs608"
"ROANOKE COUNTY","HOLLINS DISTRICT","Member School Board (Hollins District)","","David M. Linden","1","cs30"
"ROANOKE COUNTY","VINTON DISTRICT","Member Board of Supervisors (Vinton District)","","Tammy Entsminger Shepherd","1","cs317"
"ROANOKE COUNTY","VINTON DISTRICT","Member School Board (Vinton District)","","Timothy D. Greenway","1","cs360"
"ROANOKE COUNTY","WINDSOR HILLS DISTRICT","Member Board of Supervisors (Windsor Hills District)","","David F. Radford","1","cs486"
"ROANOKE COUNTY","WINDSOR HILLS DISTRICT","Member School Board (Windsor Hills District)","","Ryan M. White","1","cs79"
"ROCKBRIDGE COUNTY","GLASGOW","Mayor (Town of Glasgow)","","Paul W. Williams","1","cs496"
"ROCKBRIDGE COUNTY","GLASGOW","Member Town Council (Town of Glasgow)","","Kent W. Dunn","3","cs679"
"ROCKBRIDGE COUNTY","GLASGOW","Member Town Council (Town of Glasgow)","","Lisa B. Rogers","3","cs677"
"ROCKBRIDGE COUNTY","GLASGOW","Member Town Council (Town of Glasgow)","","Thomas E. ""Tom"" Camden","3","cs678"
"ROCKBRIDGE COUNTY","KERRS CREEK DISTRICT","Member Board of Supervisors  (Kerrs Creek District)","","Steven D. Hart","1","cs52"
"ROCKBRIDGE COUNTY","KERRS CREEK DISTRICT","Member School Board  (Kerrs Creek District)","","M. C. ""Catie"" Brown","1","cs961"
"ROCKBRIDGE COUNTY","SOUTH RIVER DISTRICT","Member School Board  (South River District)","","Corey W. Berkstresser","1","cs783"
"ROCKBRIDGE COUNTY","WALKERS CREEK DISTRICT","Member Board of Supervisors  (Walkers Creek District)","","Albert J. ""Jay"" Lewis II","1","cs818"
"ROCKINGHAM COUNTY","BROADWAY","Member Town Council (Town of Broadway)","","Elizabeth M. ""Liz"" Fawley","3","cs321"
"ROCKINGHAM COUNTY","BROADWAY","Member Town Council (Town of Broadway)","","Joan Hoover Shifflett","3","cs320"
"ROCKINGHAM COUNTY","BROADWAY","Member Town Council (Town of Broadway)","","Tristan J. Sinnett","3","cs323"
"ROCKINGHAM COUNTY","DAYTON","Member Town Council - Special (Dayton)","","Trevor A. Cockburn","1","cs962"
"ROCKINGHAM COUNTY","DISTRICT 1","Member Board of Supervisors (District 1)","","Dewey L. Ritchie","1","cs232"
"ROCKINGHAM COUNTY","DISTRICT 1","Member School Board (District 1)","","Jacqueline O. ""Jackie"" Lohr","1","cs92"
"ROCKINGHAM COUNTY","DISTRICT 3","Member Board of Supervisors (District 3)","","Matt J. Dale","1","cs15"
"ROCKINGHAM COUNTY","DISTRICT 3","Member School Board (District 3)","","Hilary L. Irons","1","cs1019"
"SALEM CITY","SALEM CITY","Commissioner of Revenue (Salem City)","","Kristie D. Chittum","1","cs46"
"SALEM CITY","SALEM CITY","Commonwealth's Attorney (Salem City)","","Matthew J. Pollard","1","cs817"
"SALEM CITY","SALEM CITY","Sheriff (Salem City)","","Christopher G. ""Chris"" Shelor","1","cs343"
"SALEM CITY","SALEM CITY","Treasurer (Salem City)","","Danielle C. Crawford","1","cs190"
"SHENANDOAH COUNTY","DISTRICT 1","Member Board of Supervisors (District 1)","","Mark H. Dotson","1","cs453"
"SHENANDOAH COUNTY","DISTRICT 1","Member School Board (District 1)","","L. M. ""Mike"" Scheibe, II","1","cs137"
"SHENANDOAH COUNTY","DISTRICT 4","Member Board of Supervisors (District 4)","","Kyle L. Gutshall","1","cs269"
"SHENANDOAH COUNTY","DISTRICT 4","Member School Board (District 4)","","Whitney L. Pence","1","cs974"
"SHENANDOAH COUNTY","DISTRICT 5","Member Board of Supervisors (District 5)","","Dennis M. Morris","1","cs898"
"SHENANDOAH COUNTY","DISTRICT 5","Member School Board (District 5)","","Larry E. Vance","1","cs275"
"SHENANDOAH COUNTY","NEW MARKET","Member Town Council - Special (New Market)","","Jon W. Henry","1","cs970"
"SHENANDOAH COUNTY","TOMS BROOK","Member Town Council - Special (Toms Brook)","","Tony E. Stillwell","1","cs105"
"SMYTH COUNTY","CHILHOWIE DISTRICT","Member Board of Supervisors (Chilhowie District)","","Mike L. Sturgill","1","cs525"
"SMYTH COUNTY","CHILHOWIE DISTRICT","Member School Board (Chilhowie District)","","Benjamen L. Adams","1","cs387"
"SMYTH COUNTY","ROYAL OAK DISTRICT","Member Board of Supervisors (Royal Oak District)","","S. Courtney Widener","1","cs909"
"SMYTH COUNTY","ROYAL OAK DISTRICT","Member School Board (Royal Oak District)","","Paul L. Grinstead","1","cs523"
"SMYTH COUNTY","SALTVILLE DISTRICT","Member Board of Supervisors (Saltville District)","","Roscoe D. ""Mike"" Call","1","cs602"
"SMYTH COUNTY","SALTVILLE DISTRICT","Member School Board (Saltville District)","","Joseph D. Johnson","1","cs887"
"SOUTHAMPTON COUNTY","BRANCHVILLE","Member Town Council (Branchville)","","Betty M. Smith","3","cs785"
"SOUTHAMPTON COUNTY","BRANCHVILLE","Member Town Council (Branchville)","","Christopher M. Fatherly","3","cs786"
"SOUTHAMPTON COUNTY","BRANCHVILLE","Member Town Council (Branchville)","","Kelly Joe Ray","3","cs784"
"SOUTHAMPTON COUNTY","CENTRAL","Member Board of Supervisors (Central)","","Alan W. Edwards","1","cs398"
"SOUTHAMPTON COUNTY","SOUTHAMPTON COUNTY","Member School Board (At-Large)","","Jayson C. Williams","2","cs854"
"SOUTHAMPTON COUNTY","SOUTHAMPTON COUNTY","Member School Board (At-Large)","","Michael T. Grizzard","2","cs855"
"SOUTHAMPTON COUNTY","SOUTHEAST","Member Board of Supervisors (Southeast)","","Robert T. White","1","cs652"
"SOUTHAMPTON COUNTY","SOUTHEAST","Member School Board (Southeast District)","","Jennifer A. Tindle","1","cs197"
"SPOTSYLVANIA COUNTY","BATTLEFIELD DISTRICT","Member Board of Supervisors (Battlefield District)","","Chris J. ""Yak"" Yakabouski","1","cs1003"
"SPOTSYLVANIA COUNTY","BATTLEFIELD DISTRICT","Member School Board (Battlefield District)","","Jennifer M. Craig-Ford","1","cs327"
"SPOTSYLVANIA COUNTY","BERKELEY DISTRICT","Member Board of Supervisors (Berkeley District)","","David S. Goosman","1","cs224"
"SPOTSYLVANIA COUNTY","BERKELEY DISTRICT","Member School Board (Berkeley District)","","Lawrence A. DiBella III","1","cs178"
"SPOTSYLVANIA COUNTY","LEE HILL DISTRICT","Member Board of Supervisors (Lee Hill District)","","Lori C. Hayes","1","cs213"
"SPOTSYLVANIA COUNTY","LEE HILL DISTRICT","Member School Board (Lee Hill District)","","Richard J. ""Rich"" Lieberman","1","cs807"
"STAFFORD COUNTY","AQUIA DISTRICT","Member Board of Supervisors (Aquia District)","","Maya P. Guy","1","cs618"
"STAFFORD COUNTY","AQUIA DISTRICT","Member School Board (Aquia District)","","Josh G. Regan","1","cs381"
"STAFFORD COUNTY","FALMOUTH DISTRICT","Member Board of Supervisors (Falmouth District)","","Kecia S. Evans","1","cs19"
"STAFFORD COUNTY","FALMOUTH DISTRICT","Member School Board (Falmouth District)","","Sarah D. Breedin Chase","1","cs633"
"STAFFORD COUNTY","GARRISONVILLE","Member Board of Supervisors (Garrisonville)","","R. Pamela Yeung","1","cs287"
"STAFFORD COUNTY","GARRISONVILLE","Member School Board (Garrisonville)","","Wanda D. Blackwell","1","cs356"
"STAFFORD COUNTY","HARTWOOD DISTRICT","Member Board of Supervisors (Hartwood District)","","Darrell E. English","1","cs958"
"STAFFORD COUNTY","HARTWOOD DISTRICT","Member School Board (Hartwood District)","","Shannon M. Fingerholz","1","cs302"
"STAUNTON CITY","STAUNTON CITY","Commissioner of Revenue (Staunton City)","","Maggie A. Ragon","1","cs1065"
"STAUNTON CITY","STAUNTON CITY","Commonwealth's Attorney (Staunton City)","","John B. Baber II","1","cs697"
"STAUNTON CITY","STAUNTON CITY","Sheriff (Staunton City)","","Chris M. Hartless","1","cs36"
"STAUNTON CITY","STAUNTON CITY","Treasurer (Staunton City)","","Richard R. ""Rick"" Johnson","1","cs944"
"SUFFOLK CITY","SUFFOLK CITY","Commissioner of Revenue (Suffolk City)","","Susan L. Draper","1","cs762"
"SUFFOLK CITY","SUFFOLK CITY","Commonwealth's Attorney (Suffolk City)","","Narendra R. Pleas","1","cs416"
"SUFFOLK CITY","SUFFOLK CITY","Sheriff (Suffolk City)","","David D. Miles","1","cs457"
"SUFFOLK CITY","SUFFOLK CITY","Treasurer (Suffolk City)","","Andrew R. Owen","1","cs430"
"SURRY COUNTY","CLAREMONT DISTRICT","Member School Board - Special (Claremont District)","","Anthony A. Washington, Sr","1","cs659"
"SURRY COUNTY","DENDRON DISTRICT","Member Board of Supervisors - Special (Dendron District)","","Cameran Amir Drew","1","cs590"
"TAZEWELL COUNTY","POCAHONTAS","Member Town Council - Special (Town of Pocahontas)","","A. Brad Belcher","1","cs891"
"TAZEWELL COUNTY","SOUTHERN DISTRICT","Member Board of Supervisors (Southern District)","","John B. Rhudy","1","cs1007"
"TAZEWELL COUNTY","SOUTHERN DISTRICT","Member School Board (Southern District)","","B. Irene Mullins","1","cs576"
"TAZEWELL COUNTY","TAZEWELL","Member Town Council - Special (Town of Tazewell)","","Glen A. Keen Jr.","1","cs823"
"TAZEWELL COUNTY","WESTERN DISTRICT","Member Board of Supervisors (Western District)","","Curt W. Breeding","1","cs444"
"TAZEWELL COUNTY","WESTERN DISTRICT","Member School Board (Western District)","","Brannon C. Breeding","1","cs614"
"VIRGINIA BEACH CITY","VIRGINIA BEACH CITY","Commissioner of Revenue (Virginia Beach City)","","Philip J. Kellam","1","cs1025"
"VIRGINIA BEACH CITY","VIRGINIA BEACH CITY","Commonwealth's Attorney (Virginia Beach City)","","Colin D. Stolle","1","cs546"
"VIRGINIA BEACH CITY","VIRGINIA BEACH CITY","Sheriff (Virginia Beach City)","","N. D. ""Rocky"" Holcomb III","1","cs278"
"VIRGINIA BEACH CITY","VIRGINIA BEACH CITY","Treasurer (Virginia Beach City)","","V. Leigh Henderson","1","cs500"
"WARREN COUNTY","FORK DISTRICT","Member Board of Supervisors (Fork District)","","Hugh B. Henry","1","cs231"
"WARREN COUNTY","FORK DISTRICT","Member School Board (Fork District)","","George E. Cline Jr.","1","cs164"
"WARREN COUNTY","HAPPY CREEK DISTRICT","Member Board of Supervisors (Happy Creek District)","","Tony F. Carter","1","cs333"
"WARREN COUNTY","HAPPY CREEK DISTRICT","Member School Board (Happy Creek District)","","Sara K. Jones","1","cs593"
"WASHINGTON COUNTY","DISTRICT B","Member Board of Supervisors (District B)","","Randy L. Pennington","1","cs895"
"WASHINGTON COUNTY","DISTRICT B","Member School Board (District B)","","J. Sanders Henderson III","1","cs24"
"WASHINGTON COUNTY","DISTRICT E","Member Board of Supervisors (District E)","","David N. Matlock","1","cs882"
"WASHINGTON COUNTY","DISTRICT E","Member School Board (District E)","","Debbie E. Anderson","1","cs41"
"WASHINGTON COUNTY","DISTRICT G","Member Board of Supervisors (District G)","","Dwayne A. Ball","1","cs74"
"WASHINGTON COUNTY","DISTRICT G","Member School Board (District G)","","Jenny D.  Nichols","1","cs161"
"WAYNESBORO CITY","WAYNESBORO CITY","Commissioner of Revenue (Waynesboro City)","","Sabrina L. von Schilling","1","cs331"
"WAYNESBORO CITY","WAYNESBORO CITY","Commonwealth's Attorney (Waynesboro City)","","David L. Ledbetter","1","cs286"
"WAYNESBORO CITY","WAYNESBORO CITY","Sheriff (Waynesboro City)","","Christopher Johnson Jr.","1","cs889"
"WAYNESBORO CITY","WAYNESBORO CITY","Treasurer (Waynesboro City)","","Stephanie M. Beverage","1","cs925"
"WESTMORELAND COUNTY","WESTMORELAND COUNTY","Treasurer (Westmoreland County)","","Bonnie S. Self","1","cs645"
"WILLIAMSBURG CITY","WILLIAMSBURG CITY","Commissioner of Revenue (Williamsburg City)","","D. P. ""Cash"" Arehart","1","cs613"
"WINCHESTER CITY","WINCHESTER CITY","Commissioner of Revenue (Winchester City)","","Ann T. Burkholder","1","cs390"
"WINCHESTER CITY","WINCHESTER CITY","Commonwealth's Attorney (Winchester City)","","Heather D. Hovermale","1","cs859"
"WINCHESTER CITY","WINCHESTER CITY","Sheriff (Winchester City)","","William E. Sales Jr.","1","cs289"
"WINCHESTER CITY","WINCHESTER CITY","Treasurer (Winchester City)","","Gregory E. Price","1","cs1021"
"WISE COUNTY","BIG STONE GAP","Member Town Council (Town of Big Stone Gap)","","Adam L. Harris","4","cs788"
"WISE COUNTY","BIG STONE GAP","Member Town Council (Town of Big Stone Gap)","","Crystal S. Lyke","4","cs790"
"WISE COUNTY","BIG STONE GAP","Member Town Council (Town of Big Stone Gap)","","J. Kent Gilley, Jr.","4","cs792"
"WISE COUNTY","BIG STONE GAP","Member Town Council (Town of Big Stone Gap)","","William A. ""Turk"" Hollinger","4","cs789"
"WISE COUNTY","DISTRICT FOUR","Member Board of Supervisors (District Four)","","J. Tim Boardwine","1","cs346"
"WISE COUNTY","DISTRICT FOUR","Member School Board (District Four)","","Angela D. Owens","1","cs62"
"WISE COUNTY","DISTRICT ONE","Member Board of Supervisors (District One)","","Randy D. Carter","1","cs476"
"WISE COUNTY","DISTRICT ONE","Member School Board (District One)","","Justin L. Bevins","1","cs691"
"WISE COUNTY","DISTRICT THREE","Member Board of Supervisors (District Three)","","John T. Schoolcraft","1","cs609"
"WISE COUNTY","DISTRICT THREE","Member School Board (District Three)","","Stephanie M. Kern","1","cs282"
"WISE COUNTY","DISTRICT TWO","Member Board of Supervisors (District Two)","","Robert R. ""Bob"" Adkins","1","cs942"
"WISE COUNTY","DISTRICT TWO","Member School Board (District Two)","","Mary Dora Smith","1","cs349"
"WYTHE COUNTY","DISTRICT 1","Member Board of Supervisors (District 1)","","Bradley D. Martin","1","cs285"
"WYTHE COUNTY","DISTRICT 1","Member School Board (District 1)","","Rusty S. Rhea","1","cs902"
"WYTHE COUNTY","DISTRICT 3","Member Board of Supervisors (District 3)","","Sarah P. Crockett","1","cs88"
"WYTHE COUNTY","DISTRICT 3","Member School Board (District 3)","","Peggy A. Wagy","1","cs450"
"WYTHE COUNTY","DISTRICT 5","Member Board of Supervisors (District 5)","","Jesse R. Burnett","1","cs101"
"WYTHE COUNTY","DISTRICT 5","Member School Board (District 5)","Write-In","Pamela S. Blair","1","PamelaS.Blair-2-"
"WYTHE COUNTY","RURAL RETREAT","Member Town Council - Special (Town of Rural Retreat)","","Geary W. ""Shug"" Jonas","1","cs841"
"WYTHE COUNTY","WYTHE COUNTY","Sheriff (Wythe County)","","Anthony R. Cline","1","cs261"
